date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:21	9773/9773	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Aug%202016%2011:34:14%20GMT	https://frix.themes95.com/js/main.js	frix.themes95.com/js/main.js	(from https://frix.themes95.com/)
14:59:22	32694/32694	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2025%20Jan%202014%2018:09:30%20GMT	https://frix.themes95.com/fonts/et-line.eot	frix.themes95.com/fonts/et-line.eot	(from https://frix.themes95.com/css/et-line-icons.css)
14:59:23	32694/32694	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2025%20Jan%202014%2018:09:30%20GMT	https://frix.themes95.com/fonts/et-line.eot?	frix.themes95.com/fonts/et-lined41d.eot	(from https://frix.themes95.com/css/et-line-icons.css)
14:59:24	55220/55220	---M--	200	added ('OK')	font/woff	date:Sat,%2025%20Jan%202014%2018:09:30%20GMT	https://frix.themes95.com/fonts/et-line.woff	frix.themes95.com/fonts/et-line.woff	(from https://frix.themes95.com/css/et-line-icons.css)
14:59:25	32536/32536	---M--	200	added ('OK')	font/ttf	date:Sat,%2025%20Jan%202014%2018:09:30%20GMT	https://frix.themes95.com/fonts/et-line.ttf	frix.themes95.com/fonts/et-line.ttf	(from https://frix.themes95.com/css/et-line-icons.css)
14:59:27	175537/175537	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2025%20Jan%202014%2018:09:30%20GMT	https://frix.themes95.com/fonts/et-line.svg	frix.themes95.com/fonts/et-line.svg	(from https://frix.themes95.com/css/et-line-icons.css)
14:59:28	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2020%20Jan%202015%2008:52:32%20GMT	https://frix.themes95.com/fonts/fontawesome-webfont.eot?v=4.3.0	frix.themes95.com/fonts/fontawesome-webfonte0a5.eot	(from https://frix.themes95.com/css/font-awesome.min.css)
14:59:28	60767/60767	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2020%20Jan%202015%2008:52:32%20GMT	https://frix.themes95.com/fonts/fontawesome-webfont.eot?	frix.themes95.com/fonts/fontawesome-webfontd41d.eot	(from https://frix.themes95.com/css/font-awesome.min.css)
14:59:29	56780/56780	---M--	200	added ('OK')	font/woff2	date:Sat,%2025%20Jul%202015%2012:40:32%20GMT	https://frix.themes95.com/fonts/fontawesome-webfont.woff2?v=4.3.0	frix.themes95.com/fonts/fontawesome-webfonte0a5.woff2	(from https://frix.themes95.com/css/font-awesome.min.css)
14:59:30	71508/71508	---M--	200	added ('OK')	font/woff	date:Tue,%2020%20Jan%202015%2008:52:32%20GMT	https://frix.themes95.com/fonts/fontawesome-webfont.woff?v=4.3.0	frix.themes95.com/fonts/fontawesome-webfonte0a5.woff	(from https://frix.themes95.com/css/font-awesome.min.css)
14:59:32	122092/122092	---M--	200	added ('OK')	font/ttf	date:Tue,%2020%20Jan%202015%2008:52:32%20GMT	https://frix.themes95.com/fonts/fontawesome-webfont.ttf?v=4.3.0	frix.themes95.com/fonts/fontawesome-webfonte0a5.ttf	(from https://frix.themes95.com/css/font-awesome.min.css)
14:59:33	313398/313398	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2020%20Jan%202015%2008:52:32%20GMT	https://frix.themes95.com/fonts/fontawesome-webfont.svg?v=4.3.0	frix.themes95.com/fonts/fontawesome-webfonte0a5.svg	(from https://frix.themes95.com/css/font-awesome.min.css)
14:59:33	15138/15138	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Oct%202016%2013:13:28%20GMT	https://frix.themes95.com/images/buy.png	frix.themes95.com/images/buy.png	(from https://frix.themes95.com/css/style.css)
